排名,新聞標題,連結,發布時間
"1","美伊海上互襲 胡塞奪摩卡港、劍指曼德海峽擴大中東戰線 - news.cnyes.com","https://news.google.com/rss/articles/CBMiT0FVX3lxTE44QlFlc1NrOGNpRXY5aXVkdGd6NVBsZTZKNTMtLWpVdjQtUzNFRDJ2ZkFvd2tkSXhldGxjUUEtRWlmN3RMMVVXQ196THZldGs?oc=5","Thu, 10 Sep 2026 22:49:07 GMT"
"2","明天的天氣/新颱風杜鵑將生成！最新路徑曝「全台降溫雨下整周」，直到這天才轉晴| 蔡惠芯 | 風生活 - 風傳媒","https://news.google.com/rss/articles/CBMiUEFVX3lxTE4zNmdQZ1JCZWNBcEdNcWJIWDdlNlY4NlZZVFhudDdaRVE3UWRsOTZPUmRIamFhR3ExX0JGOEVCSDVOLUdxQnI2QWpmMGhmT0x2?oc=5","Thu, 10 Sep 2026 10:43:00 GMT"
"3","高金素梅助理張俊傑逃亡過程「黑白配」 向小黃借手機閃避通聯| 法律前線| 社會 - UDN","https://news.google.com/rss/articles/CBMiUEFVX3lxTE9DUHVrQU5NYkpOZHRFajJNOGVfWm9ocGtWZTVnOWQ0UXI5cUtOYlV0ZFNaYklSSnQ2MEZlTWJqOURYNTIzcHh4TVpYb2V2T1lK?oc=5","Thu, 10 Sep 2026 23:35:50 GMT"
"4","新竹「無意綠白合」…黃國昌轟鄭朝方家族：光電賺飽飽 - UDN","https://news.google.com/rss/articles/CBMiU0FVX3lxTFBMTnFmMjRvYV9qUkRWT0lkNno3RWYwLTkzZG5BZE5mbkIxbnBDOEZkcXEwQ29mQXJpcU9Wa2doRS04cWxMdlEzbzVsMDJqZGlOZ3dV0gFYQVVfeXFMTzV4RkVqTXl6d0Jid3VudGt5VHNHVWROTHlxN0gtSFRBLXFDNG5aN0ZhMW9VamxmeUhZLVZfa3NlQklhaERkVTktSTVnNkQ4U3B5WlNZSGRKYQ?oc=5","Thu, 10 Sep 2026 16:34:41 GMT"
"5","伊朗夜襲約旦美軍基地！美媒：8架F-15受損、A-10少一側機翼- 國際 - 中時新聞網","https://news.google.com/rss/articles/CBMibkFVX3lxTE90Y1FCZEN4MTdyTVZGUklEcDF3MUczR2pIY2Q1cXVUZWIyOGRKdGF3R3ZZMTN0WVFSQUF5R3BNblY0SkVGWWQzVElaVmJmNXZzLVJJQ1dpQW93Y19QdUFlbDBCNmR3RmFVemJDUnln?oc=5","Thu, 10 Sep 2026 09:33:54 GMT"
"6","高雄前議長朱安雄中國病逝享壽82歲！曾叱吒南台灣政商界 骨灰今返台 - Yahoo新聞","https://news.google.com/rss/articles/CBMitANBVV95cUxPc1RJVGxjak5uTEFnNzd4eWRweUxNbmxyNG9LYU1UYkhfS3o4ZlBvTWhNbHIzeTc2UjJLUTUzdkVGRzFvUGVIcnp6Q1h2bnNicUFGNWR1elo2QndjaHZUbnk3MzBPT2JfcU5VaTFXbFB5YVRBR3J3a1NFbF96YVpsYVlpZ3l6UkFpdlZyQjJGajRpaTRyTDVDTkF4RDI2YzRQenBscjBqQ3dKQXN1SE54ejJZOGgxUWcxZmN4VUE1VFFTUS1UTFVOVG43UXFHa2NtdkN1OGt6azR0N3pvR19tQ1VFNEh0dmx1WU5QYThhNHJMY2NqVG5VWi1UbS1hTDVDYjlKQzFQOVdHUE5HaVVacng1QllRLXRlblI1NWxzRE1WYzItdkRvRVJSd1JMQWFscWhiUzZCWk56UHNFOEpxc3Q0VGszWFFaRDVWUHF0Tkw4OFdwem5PLUNjUEFteDE1NTZVX09Qckp2a0hIdG9xR0J2bWhsd0d2VjhUYUZDWmo1YW9ldi1IMDJnTFV5ODE1VVV4a19mUnIxU09sTkxrbFRvdXZQem9YQXUtcHFoTEMxUHZ0?oc=5","Thu, 10 Sep 2026 14:06:00 GMT"
"7","王偉忠讚沈伯洋選情順 指蔣萬安議會質詢「都快昏了」 - Yahoo新聞","https://news.google.com/rss/articles/CBMi3gJBVV95cUxQazA1TE1pNVFzU2pFUWtwVndOSWNubTRDVXRuUEE0NTZfX2M1bmxDQzcteEpEWFdYODRYdlRBLUZQQUF2TUdDUjFMMGZiX1B1Ukc3WEhYT2FSczNqbTZjLUF6NjdnSUpWQnBFRnJDaWRjLVZPTGJGZ0xTV1VHbnRnYXFYM2gtRU4wOXFyZjdVSTluWTVmVS1yNHpBRkJDblpNNURVYUlEMU42UlpMcjV5RUYtQjRna0I0YklJYlVqSmo3eWNkNFpnQ1RDMDF6SXRzdzJXYWIxa0tYWXBjNU5NQlV4dWtwUm5SYlI3czhTbm9KblVOZTVfc2tKSXNyaTlNUHpUVW5mNTExcHlNS1RibG5ncjltdzVTcHlqVk1UZzhEQXhiZkNzc21yZ01Wc2huNjZYMkFZUUh3RkVXcHpoOGhGdmFkWWVCMXhkN2k5emF2TjZiUXJKMkdiNU1SQQ?oc=5","Thu, 10 Sep 2026 13:23:00 GMT"
"8","竹北藍白分裂 邱臣遠曝陳見賢私下提醒「你玩不過這些人」 - UDN","https://news.google.com/rss/articles/CBMiU0FVX3lxTE1vVUJhLXVQd200VWhGUjdEWEYxVkdzcS1LdzVkUGdDbnJNdk5URHhueUE4RC1ybDlySzdLR20zX2h6dmdBOXhxX0cxVEQ4VzJiUDJj0gFYQVVfeXFMUHZPamkyRkphNlltUW5aT1BfM1ZmY3owaUV6dVRsVzNoN2tjc0djQjlrQWhrYkNCOGZhTG5UTk0wdjYydzBqcUhEVWtGVlNKNDA1SDdQSkJSSg?oc=5","Thu, 10 Sep 2026 14:24:25 GMT"
"9","藍營內鬨疑雲未解！王惠美今北上會卓榮泰爭取建設　行政院承諾全力協助 - 三立新聞","https://news.google.com/rss/articles/CBMiSEFVX3lxTE9xUWVGbHdYXzFjbGNVNFZvR281SXRwQW5HUFcxei1EYmdGdXcxUm5ZYkRSektaNkRHcnhzMFF5dnpzaWMyNExTa9IBTEFVX3lxTE00TnhjckUtWXd5Rm5hVGtvX1dVdnBTeVQxVHZybG5wTEphRWNvaFJMNGxvRUQ2aEs4cnJSeEpFdEhGZmN5dERIeld3QnY?oc=5","Thu, 10 Sep 2026 14:41:00 GMT"
"10","私立大學傳中國籍女師上課狂提「中國台灣」 陸委會回應了 - Yahoo新聞","https://news.google.com/rss/articles/CBMi9gJBVV95cUxQck13Z00yX1Y3MjNlUm5hYWZ1N3hsNWF1LVBnZDhIR05CNnV1SlQ4R2NPeVRILVc5aVdMamQzX0xlYWdiZExKQmdmT3FTbXNqSlZXQUF2UnNxLWV1VThQU1lHYmtUOWhnU1R2WGFnTlJZSU1tSFJ6NHpIYllBVWZ0ODRralJNUDM2UC1SRGp6bDRLcEhzOHRxNXdPU0FicFRwdUpyMkViTFo5WXo1c1hodHNTVDNPczJ6VF85QW1lOGktZElmcWgtSGc0UGRLQTVSN1YtOE04MkkwZkRnc1hFMjd1QXAtYm93RjM3dW04MTBNX3p5c3lzZFlyOGtCY3RhcUQ2TlllYmxocGM4V0ItN2JtLTQzNlNRcmR5MkRWeUFlbUg4elFybk5URktFd3BJQjZSWEFxQ0l0ajFiS1ZlMkNKT2FJZ2QwaUw4N2hIeE1xcEdyUXBlOHV6SzI5U2N5N2VmdWlKSVlCWUVORXpjMTlfY25qdw?oc=5","Thu, 10 Sep 2026 22:02:00 GMT"
